Number of Elements,Differance of Expected and Counted
4792,2.18637634286755
4797,2.18819187275843
4802,2.1802100139822023
4807,2.185954668054626
4812,2.189797865759457
4817,2.1883687808238417
4822,2.186473927769851
4827,2.184548191877877
4832,2.1841196734590116
4837,2.185092328768434
4842,2.186390352932524
4847,2.1804817423798677
4852,2.183276010446908
4857,2.1849520738121058
4862,2.184805241068554
4867,2.1861993611966164
4872,2.1829936875918197
4877,2.183287382426144
4882,2.186240861170523
4887,2.1844205981336313
4892,2.183880232862267
4897,2.1826041552018705
4902,2.1827575299609627
4907,2.1836886570036063
4912,2.186518035380212
4917,2.183048363856172
4922,2.1793765859911973
4927,2.183690487916156
4932,2.180996778376642
4937,2.180321805107998
4942,2.183204934898368
4947,2.1847132914161653
4952,2.184066530236276
4957,2.1811657665662025
4962,2.1846497946198062
4967,2.1841447760145978
4972,2.1824280350669776
4977,2.182881482008798
4982,2.1858021808801325
4987,2.1816939725294224
4992,2.181868358158824
4997,2.1824133980257177
5002,2.1853271175060867
5007,2.178096925919638
5012,2.179661813051842
5017,2.186408322137944
5022,2.180127661722032
5027,2.1794494107866544
5032,2.1816317663150553
5037,2.1794940059796915
5042,2.180355711357974
5047,2.178552136467313
5052,2.179195049755476
5057,2.179558281855992
5062,2.1835627929396098
5067,2.182709751679821
5072,2.178879490938117
5077,2.1762608471563403
5082,2.179332525070617
5087,2.181347222149857
5092,2.1780751030329784
5097,2.179335601890455
5102,2.1803734906421046
5107,2.1795240842325296
5112,2.1782723430366118
5117,2.1794248455074685
5122,2.1798921821640014
5127,2.1777695348805977
5132,2.1776950835459896
5137,2.1802262295570536
5142,2.177025669098465
5147,2.1759597892548914
5152,2.176683061692213
5157,2.178682467864933
5162,2.1753706013143868
5167,2.177051229682356
5172,2.174163677865689
5177,2.174750627604165
5182,2.1782836100251353
5187,2.178767584056797
5192,2.175321621216179
5197,2.1740070392457924
5202,2.1749484515191724
5207,2.1760767779406827
5212,2.175403074823678
5217,2.176154150863907
5222,2.1795970249631496
5227,2.176860050573917
5232,2.1716760655457814
5237,2.1749565647286757
5242,2.171330671941223
5247,2.173123941577843
5252,2.1751886783715286
5257,2.174772291430329
5262,2.1716932358460794
5267,2.1702874179733684
5272,2.1745658266201042
5277,2.1738473154108373
5282,2.172027321318873
5287,2.1780055251897137
5292,2.1711003823761525
5297,2.173484133071482
5302,2.17217680456175
5307,2.174456655087534
5312,2.174826662137906
5317,2.171573537196067
5322,2.170832558409683
5327,2.169042840946562
5332,2.172088373062534
5337,2.173544293808685
5342,2.1711078698578605
5347,2.172953010607004
5352,2.16826450922795
5357,2.1746131251616463
5362,2.171007384849065
5367,2.17016519683369
5372,2.1691603953752656
5377,2.172888353790249
5382,2.1704269135643686
5387,2.1703975867058145
5392,2.168143513783596
5397,2.169678825562002
5402,2.1683620332564053
5407,2.1675767388295597
5412,2.170491362786011
5417,2.16816312412483
5422,2.1711091551044803
5427,2.167435839071024
5432,2.163194669717552
5437,2.167243092452017
5442,2.1703234802782023
5447,2.1632803944445187
5452,2.1672510212787723
5457,2.1658098803081187
5462,2.165437541153204
5467,2.1632610851060843
5472,2.1656955593575695
5477,2.166277972659255
5482,2.161747202501393
5487,2.161976637375135
5492,2.16784079366771
5497,2.166821251334459
5502,2.1629599143731606
5507,2.165786961761311
5512,2.1653803780761636
5517,2.1607801137050484
5522,2.1603514038219513
5527,2.161942597449699
5532,2.163546753864755
5537,2.1637700334479555
5542,2.1644209179877545
5547,2.1622987007541177
5552,2.160736858724003
5557,2.165509219083479
5562,2.1620939988440897
5567,2.166102316241432
5572,2.1625500159754405
5577,2.1618439872824906
5582,2.1589790354510674
5587,2.1612418642411275
5592,2.163618124848598
5597,2.1603663336636
5602,2.1575245421950626
5607,2.161843887744345
5612,2.162473669773602
5617,2.156119420126978
5622,2.161458646577188
5627,2.1587152904586695
5632,2.1583097248796017
5637,2.1575664900112206
5642,2.1593785561983068
5647,2.162225530759557
5652,2.159471229530552
5657,2.1593006571448314
5662,2.1574336666807254
5667,2.16025253175359
5672,2.157160036182005
5677,2.1564403012600417
5682,2.1538583305623424
5687,2.155805306265272
5692,2.1570601440790553
5697,2.158845700448191
5702,2.1528815200165767
5707,2.1563441088980873
5712,2.1537995849730946
5717,2.1517099508393844
5722,2.1575997401099896
5727,2.1569057181756404
5732,2.1529178109022733
5737,2.1572583963854677
5742,2.1560748272233723
5747,2.1563241609494814
5752,2.15289082546924
5757,2.1519046856540127
5762,2.151019003331698
5767,2.149680313897517
5772,2.151051525864645
5777,2.1477984038931326
5782,2.154180424200535
5787,2.151828929319059
5792,2.151731624074807
5797,2.151927110500591
5802,2.1522685297272584
5807,2.151116594476558
5812,2.1528193121977317
5817,2.147907732493083
5822,2.148302043684257
5827,2.1501880394565336
5832,2.1508623856380753
5837,2.153008112868882
5842,2.149581755772801
5847,2.150091589050508
5852,2.153002005755257
5857,2.1507519182587265
5862,2.151419608140525
5867,2.1492084128794176
5872,2.1484178333157185
5877,2.1460944518125857
5882,2.1457469385504635
5887,2.145457138216252
5892,2.1503470885721105
5897,2.147514308455704
5902,2.1488767100963333
5907,2.1513074391217892
5912,2.147942145676642
5917,2.149049336021313
5922,2.1452803164470047
5927,2.146726102348895
5932,2.1461886318657672
5937,2.1453621980355337
5942,2.1450200547875826
5947,2.1462489997096177
5952,2.145452868825607
5957,2.1468728463318696
5962,2.1449258775010493
5967,2.1445024333185745
5972,2.140771355752654
5977,2.139943045614648
5982,2.141594776892723
5987,2.1435809205815524
5992,2.144311173989974
5997,2.1424228327883483
6002,2.1420905755469746
6007,2.1426386336230037
6012,2.141292645270041
6017,2.142920041811932
6022,2.1447285324677865
6027,2.1431382072695038
6032,2.1416682468360726
6037,2.142051852114284
6042,2.138385028854267
6047,2.138145727509796
6052,2.140941164864997
6057,2.1385761041518445
6062,2.14094914416093
6067,2.138059275106999
6072,2.14079810275353
6077,2.1379574114168625
6082,2.138852872839342
6087,2.1361665193183166
6092,2.1368348389859064
6097,2.136652711313572
6102,2.1358809393064924
6107,2.137793331525426
6112,2.1368902068139297
6117,2.137120301683775
6122,2.1345830755067565
6127,2.1381140255411775
6132,2.139274445485145
6137,2.135098072707946
6142,2.136589954736603
6147,2.1379587458681475
6152,2.1368331680041996
6157,2.134804510776447
6162,2.134057880131083
6167,2.138531823906648
6172,2.131363441460568
6177,2.132327971082484
6182,2.1339585532493177
6187,2.136275253957759
6192,2.1363755584848847
6197,2.1365409821044565
6202,2.1298989276125044
6207,2.1338045862860726
6212,2.134979631888034
6217,2.1349312006518053
6222,2.1345689545307893
6227,2.1330116243693897
6232,2.1301265190428955
6237,2.1339474943987407
6242,2.131398592880465
6247,2.135126324115004
6252,2.1341287599004097
6257,2.1311733257312895
6262,2.1300849443440293
6267,2.131905963358893
6272,2.136108230466334
6277,2.1337237990023428
6282,2.1326892047152053
6287,2.1335981808520694
6292,2.130174605156313
6297,2.1289215669389243
6302,2.1321222098495416
6307,2.124418834479348
6312,2.130160702345228
6317,2.128969411861789
6322,2.131202038579211
6327,2.1344747698534943
6332,2.128976531314319
6337,2.1298058222009466
6342,2.1310850077244394
6347,2.124070513933981
6352,2.130091592263074
6357,2.128571815888171
6362,2.1303982385125475
6367,2.1270243171038485
6372,2.12855097785983
6377,2.12809650652045
6382,2.126206917805059
6387,2.125387227295066
6392,2.1236474711342166
6397,2.121578700852097
6402,2.1267668331643566
6407,2.1259329980165296
6412,2.1269614196034667
6417,2.1237796774600923
6422,2.1274340466003387
6427,2.12628784833614
6432,2.1225637187719553
6437,2.127835218528704
6442,2.123627195405323
6447,2.1237243448102374
6452,2.124531454411429
6457,2.1208305925110094
6462,2.124353009829997
6467,2.126576335272839
6472,2.1214344620821786
6477,2.1263886589667083
6482,2.1244373816430837
6487,2.1196798152317973
6492,2.119038425312371
6497,2.121302935774492
6502,2.1228985687988655
6507,2.1203086181994326
6512,2.123066770430471
6517,2.1166272824366534
6522,2.122194902302501
6527,2.1223773198826086
6532,2.122286412814281
6537,2.122456668390204
6542,2.116495203452834
6547,2.1199711386216427
6552,2.119478891496735
6557,2.124928268211886
6562,2.118457660998752
6567,2.119900564234578
6572,2.121589842231546
6577,2.115399457507531
6582,2.116206008087563
6587,2.1188490788273473
6592,2.1166478225487726
6597,2.1136716628704746
6602,2.11558967279686
6607,2.1169419930556934
6612,2.1188070219535584
6617,2.114699032657523
6622,2.118975558962706
6627,2.118530679448437
6632,2.1151311545875955
6637,2.113685206506034
6642,2.1137229491677276
6647,2.1165281235318827
6652,2.112646853633581
6657,2.1148022719451878
6662,2.115501495765782
6667,2.1150572683998603
6672,2.1103233383855837
6677,2.115439004696627
6682,2.1143982358378985
